MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,36,10036,10036,61.737198098826574721,49938.2628019012
2,10057,20057,20057,45.298176614409619845,16.439021484417
3,20078,30078,30078,76.53583959145639426,31.2376629770468
4,30148,40148,40148,85.74805562135732373,9.2122160299009
5,40251,50251,50251,88.234469389039446696,2.48641376768211
6,50455,60455,60455,87.914034401036744271,0.320434988002702
7,60459,70459,70459,88.31589380937410283,0.401859408337401
8,70467,80467,80467,88.640037887219634172,0.324144077845503
9,80528,90528,90528,88.333739256675173124,0.306298630544404
10,90578,100578,100578,87.642231171902466258,0.691508084772707
11,100584,109336,109336,87.863974481849467679,0.221743309947001
12,109370,119370,119370,88.053818175620719444,0.189843693771209
13,119378,129378,129378,87.834591345454953171,0.219226830165709
14,129387,139356,139356,87.948801954847539264,0.114210609392501
15,139364,149364,149364,87.8781223780568439,0.0706795767906954
16,149371,159371,159371,87.870016940252185123,0.00810543780460193
17,159379,169379,169379,87.805616615011487625,0.0644003252406975
18,169389,177877,177877,87.968812580867279394,0.163195965855792
19,177887,187887,187887,87.716687312650776676,0.252125268216489
20,187889,197889,197889,87.813469877621585624,0.0967825649707947
21,197899,207899,207899,87.867508365373367951,0.0540384877517965
22,207905,217775,217775,87.766900154197557526,0.100608211175796
23,217782,227782,227782,87.912808521029688791,0.145908366832103
24,227788,237788,237788,87.704767606214602438,0.208040914815101
25,237794,246523,246523,87.880235764640559637,0.175468158426
26,246530,256530,256530,87.783866090519396153,0.0963696741212061
27,256536,266536,266536,87.909534523686687635,0.125668433167306
28,266544,276544,276544,87.74249943454820766,0.167035089138508
29,276555,286407,286407,87.823061564834503656,0.0805621302863102
30,286419,294732,294732,87.848197635233091773,0.0251360703986023
31,294739,304547,304547,87.824630835524075678,0.0235667997090019
32,304553,313773,313773,87.791817393041398532,0.0328134424827056
33,313780,323526,323526,87.879522778427158869,0.087705385385803
34,323534,332535,332535,87.823281589212029985,0.0562411892151999
35,332541,340199,340199,87.853638085617475895,0.0303564964055028
36,340203,346949,346949,87.862361475387771748,0.00872338977029585
37,346956,355574,355574,87.831204193755766596,0.0311572816320052
38,355581,364742,364742,87.852552397260595285,0.0213482035048003
39,364747,373347,373347,87.86136257060232424,0.00881017334170053
40,373365,383365,383365,87.804138730860785245,0.0572238397414964
41,383371,392369,392369,87.86786918637633903,0.0637304555154969
42,392374,398944,398944,87.873079748163448244,0.00521056178710921
43,398953,407049,407049,87.844824095228318583,0.0282556529351012
44,407050,409203,409203,87.844941268475182028,0.000117173246891866
45,409210,416758,416758,87.852704296015801333,0.00776302754060509
46,416767,424659,424659,87.833958469493239818,0.0187458265226041
47,424672,433117,433117,87.933692655151247664,0.0997341856580078
48,433123,442095,442095,87.7763748998106621,0.1573177553405
49,442101,450412,450412,87.859651426802315655,0.0832765269915967
50,450417,458407,458407,87.833133167819042342,0.0265182589833017
51,458412,466595,466595,87.882081165170575332,0.048947997351604
52,466602,474185,474185,87.867741775683469996,0.0143393894871053
53,474188,477956,477956,87.867879833459994643,0.000138057776496225
54,477959,480479,480479,87.867916966017673985,3.71325577077641e-05
55,480480,482637,482637,87.867922320111333079,5.35409360225003e-06
56,482641,484905,484905,87.867946968534212715,2.46484228938471e-05
57,484907,488647,488647,87.873839628272563118,0.00589265973840725
58,488648,491146,491146,87.87385537819166359,1.57499191004717e-05
59,491148,495344,495344,87.873937222707894534,8.18445161883119e-05
60,495345,497459,497459,87.873951201088345897,1.39783804087301e-05
61,497461,499613,499613,87.873973689022506051,2.24879342027862e-05
62,499617,502341,502341,87.873999825106352546,2.61360838891278e-05
63,502345,504662,504662,87.873972835305892204,2.69898004887636e-05
64,504663,506775,506775,87.873968502241950773,4.33306391300903e-06
65,506777,508897,508897,87.873934044040964864,3.44582010001204e-05
66,508899,511076,511076,87.873970527191048063,3.64831500121454e-05
67,511077,513154,513154,87.873924373048481584,4.61541425096357e-05
68,513155,515229,515229,87.874022806646053141,9.84335975999784e-05
69,515232,517458,517458,87.874017794638120904,5.0120079890803e-06
70,517463,520415,520415,87.873995584853588525,2.22097845039571e-05
71,520416,523137,523137,87.874011458102941674,1.58732492963054e-05
72,523139,525352,525352,87.874006637701654654,4.82040120175498e-06
73,525353,527448,527448,87.874017648224537425,1.10105227975055e-05
74,527449,529538,529538,87.873989135801593875,2.8512422900917e-05
75,529539,531614,531614,87.874017940627396683,2.88048258028084e-05
76,531616,533701,533701,87.874022653100183788,4.71247280131593e-06
77,533707,536200,536200,87.874022752235163125,9.91350077583775e-08
